"indicator","ISO Country code","GDP ($ USD billions PPP) 2018","GDP ($ USD billions PPP) 2019","GDP ($ USD billions PPP) 2020","GDP ($ USD billions PPP) 2021","GDP per capita in $ (PPP) 2018","GDP per capita in $ (PPP) 2019","GDP per capita in $ (PPP) 2020","GDP per capita in $ (PPP) 2021","health expenditure % of GDP 2014","health expenditure % of GDP 2015","health expenditure % of GDP 2016","health expenditure % of GDP 2017","health expenditure % of GDP 2018","health expenditure % of GDP 2019","health expenditure % of GDP 2020","health expenditure % of GDP 2021","health expenditure % of GDP 2021 or latest","health expenditure per person 2015","health expenditure per person 2018","health expenditure per person 2019","unemployment (%) 2018","unemployment (%) 2021","Military Spending as % of GDP 2021","Military Spending as % of GDP 2019"
"Solomon Islands","SLB","833.90","850.90","801.90","832.10","2,762","2,773","2,618","2,656","9.81","10.13","12","12.11","10.81","11.13","12.75","0","12.75","173","96.40","111.90","31.40","1.03","0.00%","0.00%"
"Somalia","SOM","1.80","1.80","1.70","1.70","1,157","1,237","1,246","1,302","0","0","0","0","0","0","0","0","0","0","0","0","6.60","19.86","0.00%","0.00%"
"South Africa","ZAF","17","18.30","18.80","19.40","14,207","14,289","13,359","14,420","5.49","5.48","5.44","5.60","5.64","5.92","6.19","0","6.19","1,086","564.50","546.70","25.90","33.56","0.00%","1.00%"
"South Sudan","SSD","801.90","802.80","751.20","788.10","0","0","0","0","1.23","1.47","1.54","0","0","0","0","0","0","71","26.70","22.60","0","13.91","2.37%","3.40%"
"Spain","ESP","1,883.9","1,923.2","1,715.1","1,803.0","40,696","41,695","37,756","40,775","4.30","4.29","4.23","4.21","4.18","0","0","0","0","3,183","2,740.3","2,711.2","19.40","14.73","1.37%","1.20%"
"Sri Lanka","LKA","278.70","285.20","274.90","284.90","13,168","13,632","13,227","14,127","1.93","2.23","0","0","2.14","1.93","0","0","1.93","353","162.10","160.70","5","5.39","1.88%","1.90%"
"Sudan","SDN","182.70","178.70","172.20","172.40","4,474","4,350","4,142","4,217","0","0","0","0","0","0","0","0","0","277","59.50","46.90","13.30","19.81","1.02%","1.60%"
"Suriname","SUR","10.90","11.10","9.30","9","19,460","19,840","16,733","16,676","0","5.53","5.64","5.46","4.92","6.83","5.01","0","5.01","1,017","475","619.20","10","10.06","0.00%","0.00%"
"Sweden","SWE","532.70","543.20","527.30","552.60","53,522","54,599","55,065","59,324","7.57","7.44","7.62","7.57","7.64","0","0","0","7.64","5,299","6,005.1","5,671.4","7.10","8.66","1.28%","1.10%"
"Switzerland","CHE","601.10","608.40","593.80","615.70","71,660","72,034","71,745","77,324","4.88","4.94","4.93","4.95","4.86","0","0","0","4.86","7,583","9,870.7","9,666.3","4.60","5.32","0.71%","0.70%"
"Syria","SYR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14.30","10.57","0.00%","4.10%"
"Taiwan","TWN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","1.74%","1.70%"
"Tajikistan","TJK","31.10","33.40","34.90","38.10","3,497","3,733","3,854","4,288","0","4.97","5.76","5.84","5.56","5.71","0","0","5.71","193","59.80","61.90","10.80","7.75","1.01%","1.20%"
